sentiment,text,translated
neutral,"Menurut Gran, perusahaan tidak berencana memindahkan seluruh produksinya ke Rusia, meski di sanalah perusahaan berkembang.",True
neutral,"Technopolis berencana untuk mengembangkan secara bertahap area seluas tidak kurang dari 100.000 meter persegi untuk menampung perusahaan-perusahaan yang bergerak di bidang teknologi komputer dan telekomunikasi, kata pernyataan itu.",True
negative,"Perusahaan industri elektronik internasional Elcoteq telah memberhentikan puluhan karyawannya dari fasilitasnya di Tallinn; Berbeda dengan PHK sebelumnya, perusahaan ini mengontrak sejumlah pekerja kantornya, lapor harian Postimees.",True
positive,"Dengan pabrik produksi baru, perusahaan akan meningkatkan kapasitasnya untuk memenuhi perkiraan peningkatan permintaan dan akan meningkatkan penggunaan bahan baku sehingga meningkatkan profitabilitas produksi.",True
positive,"Menurut strategi terbaru perusahaan untuk tahun 2009-2012, Basware menargetkan pertumbuhan penjualan bersih jangka panjang di kisaran 20% -40% dengan margin laba operasional sebesar 10% -20% dari penjualan bersih.",True
positive,PEMBIAYAAN PERTUMBUHAN ASPOCOMP Aspocomp secara agresif menjalankan strategi pertumbuhannya dengan semakin fokus pada papan sirkuit cetak HDI yang lebih menuntut teknologi.,True
positive,"Pada kuartal terakhir tahun 2010, penjualan bersih Componenta meningkat dua kali lipat menjadi EUR131 juta dari EUR76 juta pada periode yang sama tahun sebelumnya, sementara laba sebelum pajak berubah menjadi nol dari kerugian sebelum pajak sebesar EUR7 juta.",True
positive,"Pada kuartal ketiga tahun 2010, penjualan bersih meningkat sebesar 5,2% menjadi EUR 205,5 juta, dan laba operasional sebesar 34,9% menjadi EUR 23,5 juta.",True
positive,"Laba operasional naik menjadi EUR 13,1 juta dari EUR 8,7 juta pada periode yang sama tahun 2007 yang mewakili 7,7% dari penjualan bersih.",True
positive,"Laba operasional berjumlah EUR 21,1 juta, naik dari EUR 18,6 juta pada tahun 2007, mewakili 9,7% dari penjualan bersih.",True
positive,TeliaSonera TLSN mengatakan tawaran ini sejalan dengan strateginya untuk meningkatkan kepemilikannya dalam kepemilikan bisnis inti dan akan memperkuat penawaran Eesti Telekom kepada pelanggannya.,True
positive,"STORA ENSO, NORSKE SKOG, M-REAL, UPM-KYMMENE Credit Suisse First Boston (CFSB) menaikkan nilai wajar saham empat grup kehutanan terbesar di Nordik.",True
positive,"Perjanjian pembelian 7.200 ton bensin dengan pengiriman di terminal Hamina, Finlandia, ditandatangani dengan Neste Oil OYj pada rata-rata indeks Platts untuk September ini ditambah delapan dolar AS per bulan.",True
positive,"Talentum Finlandia melaporkan laba operasionalnya meningkat menjadi EUR 20,5 juta pada tahun 2005 dari EUR 9,3 juta pada tahun 2004, dan penjualan bersih berjumlah EUR 103,3 juta, naik dari EUR 96,4 juta.",True
positive,"Penjualan jaringan ritel pakaian Sepp+Ã¯Â¿Â½l+Ã¯Â¿Â½ meningkat sebesar 8 % menjadi EUR 155,2 juta , dan laba operasional naik menjadi EUR 31,1 juta dari EUR 17,1 juta pada tahun 2004 .",True
positive,"Penjualan bersih konsolidasi meningkat 16 % mencapai EUR74 ,8 juta , sementara laba operasional sebesar EUR0 ,9 juta dibandingkan dengan kerugian sebesar EUR0 ,7 juta pada periode tahun sebelumnya .",True
positive,"Divisi Foundries melaporkan penjualannya meningkat sebesar 9,7 % menjadi EUR 63,1 juta dari EUR 57,5 ​​juta pada periode yang sama tahun 2006 , dan penjualan divisi Bengkel Mesin meningkat sebesar 16,4 % menjadi EUR 41,2 juta dari EUR 35,4 juta pada periode yang sama tahun 2006 .",True
positive,"HELSINKI (AFX) - Saham ditutup lebih tinggi, dipimpin oleh Nokia setelah mengumumkan rencana untuk bekerja sama dengan Sanyo untuk memproduksi ponsel 3G, dan oleh Nokian Tires setelah laporan pendapatan kuartal keempat mengalahkan ekspektasi analis, kata dealer.",True
positive,"Incap Contract Manufacturing Services Pvt Ltd, anak perusahaan Incap Corporation Finlandia, berencana menggandakan pendapatannya pada tahun 2007-2008.",True
positive,"Dewan direksinya akan mengusulkan dividen sebesar EUR0,12 per saham untuk tahun 2010, naik dari EUR0,08 per saham yang dibayarkan pada tahun 2009.",True
positive,"Lifetree didirikan pada tahun 2000, dan pendapatannya meningkat rata-rata sebesar 40% dengan margin di akhir tahun 30an.",True
positive,"(Filippova) Perjanjian trilateral mengenai investasi dalam pembangunan taman teknologi di St Petersburg akan ditandatangani dalam forum, Hari Ekonomi Rusia, yang dibuka di Helsinki hari ini.",True
positive,"Basis pelanggan MegaFon meningkat 16,1 % pada tahun 2009 menjadi 50,5 juta pengguna pada tanggal 31 Desember , sementara pangsa pasarnya berdasarkan jumlah pelanggan mencapai 24 % pada akhir tahun 2009 , naik dari 23 % pada akhir tahun 2008 , menurut perkiraan TeliaSonera .",True
positive,"Laba bersih dari asuransi jiwa meningkat dua kali lipat menjadi EUR 6,8 juta dari EUR 3,2 juta, dan laba bersih dari asuransi non-jiwa naik menjadi EUR 5,2 juta dari EUR 1,5 juta pada periode yang sama tahun 2009.",True
positive,"Penjualan bersih meningkat menjadi EUR193,3 juta dari EUR179,9 juta dan laba sebelum pajak naik sebesar 34,2% menjadi EUR43,1 juta. ( EUR1 = USD1 ,4 )",True
positive,"Penjualan bersih melonjak 18,5% menjadi EUR167,8 juta. Teleste mengatakan bahwa EUR20,4 juta, atau 12,2%, dari penjualan berasal dari akuisisi yang dilakukan pada tahun 2009.",True
positive,"Laba operasional Nordea Group meningkat pada tahun 2010 sebesar 18 persen tahun-ke-tahun menjadi 3,64 miliar euro dan total pendapatan sebesar 3 persen menjadi 9,33 miliar euro.",True
positive,"Laba operasional untuk periode sembilan bulan meningkat dari EUR13,6 juta, sementara penjualan bersih meningkat dari EUR394,7 juta, dibandingkan dengan periode yang sama pada tahun 2005.",True
positive,"Laba operasional untuk periode sembilan bulan meningkat dari EUR3,1 juta dan penjualan bersih meningkat dari EUR61,5 juta, dibandingkan dengan periode yang sama pada tahun 2007.",True
positive,"Laba operasional untuk periode tiga bulan meningkat dari EUR1,2 juta, sementara pendapatan meningkat dari EUR20,2 juta, dibandingkan dengan periode yang sama pada tahun 2005.",True
positive,"Unit penyedia solusi keamanan Finlandia F-Secure di Brasil mendaftarkan 1.500 klien baru tahun lalu, sumber berita online Reseller Web mengutip direktur komersial divisi tersebut, Vladimir Brand+_o.",True
positive,"Laba bersih perusahaan naik 11,4% pada tahun ini menjadi 82,2 juta euro pada tahun 2005 dari penjualan sebesar 686,5 juta euro, naik 13,8% pada tahun ini, kata perusahaan sebelumnya.",True
positive,"Pasar bir Lituania mencapai 14,41 juta liter pada bulan Januari, naik 0,8 persen dari angka tahun sebelumnya, Asosiasi Pembuat Bir Lituania melaporkan dengan mengutip hasil dari para anggotanya.",True
positive,"Pendapatan kargo Viking Line meningkat sebesar 5,4% menjadi EUR 21,46 juta, dan volume kargo meningkat sebesar 2,4% menjadi 70.116 unit kargo.",True
positive,"Nilai wajar portofolio properti meningkat dua kali lipat akibat akuisisi Kapiteeli dan berjumlah EUR 2.686,2 1.259,7 juta.",True
positive,"10 Februari 2011 - Perusahaan media Finlandia Sanoma Oyj HEL: SAA1V kemarin mengatakan laba bersih tahun 2010 hampir tiga kali lipat menjadi EUR297,3 juta dari EUR107,1 juta pada tahun 2009 dan mengumumkan proposal untuk peningkatan pembayaran.",True
positive,"A Helsinki: ELIiV hari ini melaporkan EPS sebesar EUR1,13 pada tahun 2009, meningkat dibandingkan EPS sebesar EUR1,12 pada tahun 2008.",True
